"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"anteprojeto do Código Nacional de Telecomunicações","","","","","",""
"anteprojeto do Código Penal Brasileiro","","","","","",""
"anteprojeto do Estatuto do Petróleo","","","","","",""
"anteprojeto do Governo Provisório","","","","","",""
"anteprojeto do Metropolitano do Rio de Janeiro","","","","","",""
"anteprojeto do Plano de Valorização Econômica da Amazônia","","","","","",""
"anteprojeto do Plano Salte","","","","","",""
"anteprojeto do Poder Legislativo","","","","","",""
"Anteprojeto do Regimento do Itamarati","","","","","",""
"Anteprojeto do Regulamento para os Serviços Diplomáticos","","","","","",""
"Apoio à Emissão de Títulos Corporativos","","","","","",""
"Aposentadoria Compulsória","0","Q11104487","http://www.wikidata.org/entity/Q11104487","mandatory retirement","","set age at which people who hold certain jobs or offices are required by industry custom or by law to leave their employment, or retire"
"Área de Livre Comércio das Américas","0","Q468591","http://www.wikidata.org/entity/Q468591","Free Trade Area of the Americas","","failed 2005 trade agreement for North and South America"
"Arguição de Descumprimento de Preceito Fundamental","0","Q9628369","http://www.wikidata.org/entity/Q9628369","Arguição de Descumprimento de Preceito Fundamental","Q155",""
"Arguição de Descumprimento de Preceito Fundamental","1","Q61140741","http://www.wikidata.org/entity/Q61140741","Arguição de descumprimento de preceito fundamental nº 186","Q155",""
"Ata das Cataratas","","","","","",""
"Ata de Bogotá","","","","","",""
"Ata de Chapultepec","0","Q8187714","http://www.wikidata.org/entity/Q8187714","Ata de Chapultepec","Q96",""
"Ata de Roboré","","","","","",""
"Ata do Iguaçu","","","","","",""
"Ata Econômica","","","","","",""
"Ata Final","","","","","",""
"Ata Final da Rodada Uruguai de Negociações","","","","","",""
"Ata Final da Rodada Uruguai de Negociações do GATT","","","","","",""
"Ata para a Integração Argentino-Brasileira","0","Q19412500","http://www.wikidata.org/entity/Q19412500","Ata para a Integração Argentino-Brasileira","",""
"Atenção Básica","0","Q623543","http://www.wikidata.org/entity/Q623543","primary health care","","essential health care accessible to all individuals and families in a community"
"Atenção Primária","0","Q623543","http://www.wikidata.org/entity/Q623543","primary health care","","essential health care accessible to all individuals and families in a community"
"Atenção Primária","1","Q62743320","http://www.wikidata.org/entity/Q62743320","Atenção primária à saúde e a construção de sentidos para a saúde bucal: leitura construcionista social sobre discursos de idosos","","scientific article published on 01 May 2012"
"Atenção Primária","2","Q62743305","http://www.wikidata.org/entity/Q62743305","Atenção primária à saúde e a construção de sentidos para a saúde bucal: leitura construcionista social sobre discursos de idosos","","scientific article published on 01 August 2012"
"Ato Adicional","0","Q4554401","http://www.wikidata.org/entity/Q4554401","1834 Additional Act","Q155","amendment to the Brazilian Constitution"
"Ato Adicional","1","Q16495137","http://www.wikidata.org/entity/Q16495137","Ato Adicional de 1852","",""
"Ato Adicional","2","Q19530118","http://www.wikidata.org/entity/Q19530118","Ato Adicional de 23 de dezembro de 1907","",""
"Ato Adicional nº 4","","","","","",""
"Ato Adicional nº 9","","","","","",""
"Ato Complementar","0","Q16495138","http://www.wikidata.org/entity/Q16495138","Ato Complementar","Q155",""
"Ato Complementar","1","Q19530159","http://www.wikidata.org/entity/Q19530159","Ato Complementar Número Vinte e Seis","",""
"Ato Complementar","2","Q19530139","http://www.wikidata.org/entity/Q19530139","Ato Complementar Número Nove","",""
"Ato Complementar nº 1","","","","","",""
"Ato Complementar nº 102","","","","","",""
"Ato Complementar nº 104","","","","","",""
"Ato Complementar nº 15","","","","","",""
"Ato Complementar nº 16","","","","","",""
"Ato Complementar nº 18","","","","","",""
"Ato Complementar nº 23","","","","","",""
"Ato Complementar nº 27","","","","","",""
"Ato Complementar nº 38","","","","","",""
"Ato Complementar nº 4","","","","","",""
"Ato Complementar nº 54","","","","","",""
"Ato Complementar nº 6","","","","","",""
"Ato Complementar nº 64","","","","","",""
"Ato Complementar nº 65","","","","","",""
"Ato Complementar nº 72","","","","","",""
"Ato Complementar nº 73","","","","","",""
"Ato Complementar nº 77","","","","","",""
"Ato Complementar nº 9","","","","","",""
"Ato Constitucional","0","Q868884","http://www.wikidata.org/entity/Q868884","Constitution Act, 1867","Q174193","part of the Constitution of Canada"
"Ato Constitucional nº 1","","","","","",""
"Ato Constitucional nº 38","","","","","",""
"Ato Constitucional nº 5","","","","","",""
"Ato das Disposições Constitucionais Provisórias","","","","","",""
"Ato das Disposições Constitucionais Transitórias","0","Q106377143","http://www.wikidata.org/entity/Q106377143","Ato das Disposições Constitucionais Transitórias","","Brazilian rules created  to aid in the transition of the constitutional regime of 1969 to that of 1988"
"Ato das Disposições Transitórias","","","","","",""
"Ato de Assistência Externa de 1961","","","","","",""
"Ato de Não-Proliferação Nuclear de 1978","","","","","",""
"Ato em Defesa do Emprego e Salário","","","","","",""
"Ato Institucional","0","Q2018524","http://www.wikidata.org/entity/Q2018524","Institutional Acts","Q155","founding legislation of the Brazilian military dictatorship"
"Ato Institucional","1","Q2642410","http://www.wikidata.org/entity/Q2642410","AI-5","Q155","1968 legislation by the Brazilian military government"
"Ato Institucional","2","Q9636866","http://www.wikidata.org/entity/Q9636866","AI-12","Q155",""
