"PARTIDO SOCIAL DEMOCRATA CRISTÃO (PSDC)","11616","https://github.com/cpdoc/dhbb/blob/master/text/11616.text","0","Q2653287","http://www.wikidata.org/entity/Q2653287","Christian Democracy","Q155","political party"
"PARTIDO SOCIAL LIBERAL (PSL)","11617","https://github.com/cpdoc/dhbb/blob/master/text/11617.text","0","Q2366265","http://www.wikidata.org/entity/Q2366265","Social Liberal Party","Q155","national-conservative political party in Brazil"
"PARTIDO SOCIAL LIBERAL (PSL)","11617","https://github.com/cpdoc/dhbb/blob/master/text/11617.text","1","Q1249448","http://www.wikidata.org/entity/Q1249448","Croatian Social Liberal Party","Q224","Croatian political party"
"PARTIDO SOCIAL LIBERAL (PSL)","11617","https://github.com/cpdoc/dhbb/blob/master/text/11617.text","2","Q9056311","http://www.wikidata.org/entity/Q9056311","Partido Social-Liberal","","Wikimedia disambiguation page"
"PARTIDO SOCIALISMO E LIBERDADE (PSOL)","11618","https://github.com/cpdoc/dhbb/blob/master/text/11618.text","0","Q1754827","http://www.wikidata.org/entity/Q1754827","Socialism and Freedom Party","Q155","political party in Brazil"
"PARTIDO SOCIALISMO E LIBERDADE (PSOL)","11618","https://github.com/cpdoc/dhbb/blob/master/text/11618.text","1","Q6064345","http://www.wikidata.org/entity/Q6064345","Socialism and Liberty Party (Venezuela)","Q717",""
"PARTIDO TRABALHISTA CRISTÃO (PTC)","11619","https://github.com/cpdoc/dhbb/blob/master/text/11619.text","0","Q2534868","http://www.wikidata.org/entity/Q2534868","AGIR","Q155","Political party in Brazil"
"Pensamento Nacional das Bases Empresariais (PNBE)","11620","https://github.com/cpdoc/dhbb/blob/master/text/11620.text","","","","","",""
"Plano Plurianial de Investimentos (PPA)","11621","https://github.com/cpdoc/dhbb/blob/master/text/11621.text","","","","","",""
"Programa de Aceleração do Crescimento (PAC)","11622","https://github.com/cpdoc/dhbb/blob/master/text/11622.text","0","Q7248443","http://www.wikidata.org/entity/Q7248443","Programa de Aceleração do Crescimento","Q155","investment plan in Brazil"
"Programa de Aceleração do Crescimento (PAC)","11622","https://github.com/cpdoc/dhbb/blob/master/text/11622.text","1","Q10354373","http://www.wikidata.org/entity/Q10354373","Programa de Aceleração do Crescimento das Cidades Históricas","Q155",""
"Proteção Social","11623","https://github.com/cpdoc/dhbb/blob/master/text/11623.text","","","","","",""
"Secretaria de Assuntos Estratégicos da Presidência da República (SAE)","11624","https://github.com/cpdoc/dhbb/blob/master/text/11624.text","0","Q61953477","http://www.wikidata.org/entity/Q61953477","Secretaria de Assuntos Estratégicos da Presidência da República","Q155","fund under the custody of the Brazilian National Archives"
"TV BRASIL","11625","https://github.com/cpdoc/dhbb/blob/master/text/11625.text","0","Q1788146","http://www.wikidata.org/entity/Q1788146","TV Brasil","Q155","public broadcaster in Brazil"
"TV BRASIL","11625","https://github.com/cpdoc/dhbb/blob/master/text/11625.text","1","Q3890667","http://www.wikidata.org/entity/Q3890667","TV Brasil - Integration channel","Q155",""
"TV BRASIL","11625","https://github.com/cpdoc/dhbb/blob/master/text/11625.text","2","Q7672304","http://www.wikidata.org/entity/Q7672304","TV Brasil Internacional","Q155","International Portuguese-language television network"
"União Geral dos Trabalhadores (UGT)","11626","https://github.com/cpdoc/dhbb/blob/master/text/11626.text","0","Q833196","http://www.wikidata.org/entity/Q833196","Unión General de Trabajadores","Q29","Spanish trade union"
"União Geral dos Trabalhadores (UGT)","11626","https://github.com/cpdoc/dhbb/blob/master/text/11626.text","1","Q121969426","http://www.wikidata.org/entity/Q121969426","União Geral dos Trabalhadores","Q155",""
