"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"Aliança Republicana","0","Q1146480","http://www.wikidata.org/entity/Q1146480","Nationalist Republican Alliance","Q792","Conservative political party in El Salvador"
"Aliança Republicana","1","Q16488566","http://www.wikidata.org/entity/Q16488566","Aliança Republicana Socialista","Q155",""
"Aliança Republicana","2","Q3236937","http://www.wikidata.org/entity/Q3236937","Aliança Republicana e Socialista","",""
"Aliança Republicana Cristã","","","","","",""
"Aliança Social Democrática","0","Q1141127","http://www.wikidata.org/entity/Q1141127","Social Democratic Alliance","Q189","Icelandic political party"
"Aliança Social Progressista","","","","","",""
"Aliança Social Trabalhista","0","Q66738289","http://www.wikidata.org/entity/Q66738289","Aliança Social Trabalhista","Q155","Brazilian political coalition in Santa Cruz do Sul, Rio Grande do Sul"
"Aliança Socialista Nacionalista","","","","","",""
"Aliança Socialista Trabalhista","","","","","",""
"Aliança Trabalhista","","","","","",""
"Aliança Trabalhista da Bahia","","","","","",""
"Aliança Trabalhista Liberal","","","","","",""
"Aliança Trabalhista Liberal do Amazonas","","","","","",""
"Aliança Trabalhista-Liberal","","","","","",""
"ANL","0","Q649120","http://www.wikidata.org/entity/Q649120","Argonne National Laboratory","Q30","science and engineering research national laboratory in Lemont, IL, United States"
"ANL","1","Q27713721","http://www.wikidata.org/entity/Q27713721","ANL","Q30","journal"
"ANL","2","Q4314903","http://www.wikidata.org/entity/Q4314903","Aliança Nacional Libertadora","Q155","Brazil"
"ARENA","0","Q641226","http://www.wikidata.org/entity/Q641226","arena","","enclosed area designed to host theater, musical performances and sporting events"
"ARENA","1","Q2745857","http://www.wikidata.org/entity/Q2745857","National Renewal Alliance Party","Q155","political party in Brazil supporting the military dictatorship (1966-1979)"
"ARENA","2","Q54697","http://www.wikidata.org/entity/Q54697","Arena","Q38","Italian comune"
"Bloco de Aliança Parlamentar","","","","","",""
"Bloco de Resistência Socialista","","","","","",""
"Bloco Operário","0","Q25419493","http://www.wikidata.org/entity/Q25419493","Bloco Operário e Camponês do Brasil","Q155",""
"Bloco Operário Camponês","","","","","",""
"BLOCO OPERÁRIO-CAMPONÊS","","","","","",""
"Bloco Parlamentar da Maioria","","","","","",""
"Bloco Parlamentar da Minoria","","","","","",""
"Bloco Parlamentar Independente","","","","","",""
"Bloco Parlamentar Mudancista","","","","","",""
"Bloco Parlamentar Renovador","","","","","",""
"BLOCO PARLAMENTAR REVOLUCIONÁRIO","","","","","",""
"Bloco Partido Verde","","","","","",""
"Bloco Tancredo Neves","","","","","",""
"Chapa Popular","","","","","",""
