"title","filename","verbete","seq","qid","qurl","qlabel","qcountry","qdescr"
"Lauro Campos","1014","https://github.com/cpdoc/dhbb/blob/master/text/1014.text","0","Q85853011","http://www.wikidata.org/entity/Q85853011","Lauro Campos","Q155","Brazilian politician"
"Marcos Vinícius De Campos","1015","https://github.com/cpdoc/dhbb/blob/master/text/1015.text","","","","","",""
"Maurício Campos","1016","https://github.com/cpdoc/dhbb/blob/master/text/1016.text","0","Q10327631","http://www.wikidata.org/entity/Q10327631","Maurício Campos de Medeiros","Q155","Brazilian physician (1885-1966)"
"Maurício Campos","1016","https://github.com/cpdoc/dhbb/blob/master/text/1016.text","1","Q92240979","http://www.wikidata.org/entity/Q92240979","Mauricio Campos","","researcher (ORCID 0000-0002-7880-4303)"
"Maurício Campos","1016","https://github.com/cpdoc/dhbb/blob/master/text/1016.text","2","Q97559464","http://www.wikidata.org/entity/Q97559464","Mauricio Campos-Mora","","researcher"
"Mauro Campos","1017","https://github.com/cpdoc/dhbb/blob/master/text/1017.text","0","Q47011458","http://www.wikidata.org/entity/Q47011458","Mauro Campos","Q155","Brazilian politician"
"Mauro Campos","1017","https://github.com/cpdoc/dhbb/blob/master/text/1017.text","1","Q64851620","http://www.wikidata.org/entity/Q64851620","Mauro Cesar Campos","Q155","politician from Brazil"
"Mauro Campos","1017","https://github.com/cpdoc/dhbb/blob/master/text/1017.text","2","Q46413623","http://www.wikidata.org/entity/Q46413623","Mauro Campos","","researcher"
"Mílton Campos","1018","https://github.com/cpdoc/dhbb/blob/master/text/1018.text","0","Q1797201","http://www.wikidata.org/entity/Q1797201","Milton Campos","Q155","Brazilian politician (1900-1972)"
"Mílton Campos","1018","https://github.com/cpdoc/dhbb/blob/master/text/1018.text","1","Q61879090","http://www.wikidata.org/entity/Q61879090","Milton Campos Antonio","Q155","Brazilian politician"
"Mílton Campos","1018","https://github.com/cpdoc/dhbb/blob/master/text/1018.text","2","Q108714472","http://www.wikidata.org/entity/Q108714472","Milton Campos","Q155","Brazilian academic researcher"
"Neudo Campos","1019","https://github.com/cpdoc/dhbb/blob/master/text/1019.text","0","Q10336446","http://www.wikidata.org/entity/Q10336446","Neudo Ribeiro Campos","Q155","Brazilian politician and engineer"
"José Carlos Aleluia","102","https://github.com/cpdoc/dhbb/blob/master/text/102.text","0","Q10309070","http://www.wikidata.org/entity/Q10309070","José Carlos Aleluia","Q155","engineer, university professor and Brazilian politician, former federal deputy of Brazil"
"Olavo Jardim Campos","1020","https://github.com/cpdoc/dhbb/blob/master/text/1020.text","","","","","",""
"Paulo Campos","1021","https://github.com/cpdoc/dhbb/blob/master/text/1021.text","0","Q3898233","http://www.wikidata.org/entity/Q3898233","Paulo Campos","Q155","Brazilian football manager"
"Paulo Campos","1021","https://github.com/cpdoc/dhbb/blob/master/text/1021.text","1","Q13565113","http://www.wikidata.org/entity/Q13565113","Paulo Campos","Q928","Filipino physician (1921-2007)"
"Paulo Campos","1021","https://github.com/cpdoc/dhbb/blob/master/text/1021.text","2","Q64850449","http://www.wikidata.org/entity/Q64850449","Paulo Roberto de Campos","Q155","politician from Brazil"
"Pedro Ivo Campos","1022","https://github.com/cpdoc/dhbb/blob/master/text/1022.text","0","Q3374064","http://www.wikidata.org/entity/Q3374064","Pedro Ivo Campos","Q155","Brazilian politician"
"Pedro Ivo Campos","1022","https://github.com/cpdoc/dhbb/blob/master/text/1022.text","1","Q3396683","http://www.wikidata.org/entity/Q3396683","Pedro Ivo Campos bridge","Q155","bridge in Brazil"
"Roberto Campos","1023","https://github.com/cpdoc/dhbb/blob/master/text/1023.text","0","Q7351961","http://www.wikidata.org/entity/Q7351961","Roberto de Oliveira Campos","Q155","economist"
"Roberto Campos","1023","https://github.com/cpdoc/dhbb/blob/master/text/1023.text","1","Q55719745","http://www.wikidata.org/entity/Q55719745","Roberto Campos","",""
"Roberto Campos","1023","https://github.com/cpdoc/dhbb/blob/master/text/1023.text","2","Q106808197","http://www.wikidata.org/entity/Q106808197","Roberto Campos","","Cuban baseball player"
"Ronaldo Campos","1024","https://github.com/cpdoc/dhbb/blob/master/text/1024.text","0","Q6111699","http://www.wikidata.org/entity/Q6111699","Ronaldo Campos de la Colina","Q419","Peruvian percussionist (1927-2001)"
"Ronaldo Campos","1024","https://github.com/cpdoc/dhbb/blob/master/text/1024.text","1","Q93094090","http://www.wikidata.org/entity/Q93094090","Ronaldo Campos Rodrigues","","researcher (ORCID 0000-0002-3761-4343)"
"Sílvio De Campos","1025","https://github.com/cpdoc/dhbb/blob/master/text/1025.text","0","Q42564842","http://www.wikidata.org/entity/Q42564842","Sílvio de Campos","Q155","Brazilian politician (1884-1962)"
"Siqueira Campos","1026","https://github.com/cpdoc/dhbb/blob/master/text/1026.text","0","Q2064771","http://www.wikidata.org/entity/Q2064771","Siqueira Campos","Q155","municipality of Paraná, Brazil"
"Siqueira Campos","1026","https://github.com/cpdoc/dhbb/blob/master/text/1026.text","1","Q10371984","http://www.wikidata.org/entity/Q10371984","Siqueira Campos","Q155","Brazilian politician"
"Siqueira Campos","1026","https://github.com/cpdoc/dhbb/blob/master/text/1026.text","2","Q9337240","http://www.wikidata.org/entity/Q9337240","Siqueira Campos","Q155","metro station in Rio de Janeiro, Brazil"
"Siqueira Campos","1027","https://github.com/cpdoc/dhbb/blob/master/text/1027.text","0","Q2064771","http://www.wikidata.org/entity/Q2064771","Siqueira Campos","Q155","municipality of Paraná, Brazil"
"Siqueira Campos","1027","https://github.com/cpdoc/dhbb/blob/master/text/1027.text","1","Q10371984","http://www.wikidata.org/entity/Q10371984","Siqueira Campos","Q155","Brazilian politician"
"Siqueira Campos","1027","https://github.com/cpdoc/dhbb/blob/master/text/1027.text","2","Q9337240","http://www.wikidata.org/entity/Q9337240","Siqueira Campos","Q155","metro station in Rio de Janeiro, Brazil"
"Sousa Campos","1028","https://github.com/cpdoc/dhbb/blob/master/text/1028.text","0","Q28533943","http://www.wikidata.org/entity/Q28533943","Sousa Campos","","Wikimedia disambiguation page"
"Wilson Campos","1029","https://github.com/cpdoc/dhbb/blob/master/text/1029.text","","","","","",""
"Armando De Alencar","103","https://github.com/cpdoc/dhbb/blob/master/text/103.text","0","Q16493721","http://www.wikidata.org/entity/Q16493721","Armando de Alencar","Q155","Brazilian judge (1886-1953)"
"Carlos Camurça","1030","https://github.com/cpdoc/dhbb/blob/master/text/1030.text","0","Q16939641","http://www.wikidata.org/entity/Q16939641","Carlinhos Camurça","Q155","Brazilian politician"
"Dalton Canabrava","1031","https://github.com/cpdoc/dhbb/blob/master/text/1031.text","","","","","",""
"Mendes Canale","1032","https://github.com/cpdoc/dhbb/blob/master/text/1032.text","0","Q9622424","http://www.wikidata.org/entity/Q9622424","Antônio Mendes Canale","Q155","Brazilian lawyer and politician"
"José Maria Lopes Cançado","1033","https://github.com/cpdoc/dhbb/blob/master/text/1033.text","0","Q42564871","http://www.wikidata.org/entity/Q42564871","Lopes Cançado","Q155","Brazilian politician (1901-1982)"
"Marcolino Candau","1034","https://github.com/cpdoc/dhbb/blob/master/text/1034.text","","","","","",""
"Raquel Cândido","1035","https://github.com/cpdoc/dhbb/blob/master/text/1035.text","0","Q16593086","http://www.wikidata.org/entity/Q16593086","Raquel Cândido e Silva","Q155","Brazilian politician"
"Raquel Cândido","1035","https://github.com/cpdoc/dhbb/blob/master/text/1035.text","1","Q89674634","http://www.wikidata.org/entity/Q89674634","Raquel Candido de Oliveira","","researcher"
"Pedro  Canedo","1036","https://github.com/cpdoc/dhbb/blob/master/text/1036.text","","","","","",""
"Ronaldo Canedo","1037","https://github.com/cpdoc/dhbb/blob/master/text/1037.text","","","","","",""
"Benedito Canelas","1038","https://github.com/cpdoc/dhbb/blob/master/text/1038.text","","","","","",""
"Nilo Caneppa","1039","https://github.com/cpdoc/dhbb/blob/master/text/1039.text","","","","","",""
"Fernando Alencar","104","https://github.com/cpdoc/dhbb/blob/master/text/104.text","","","","","",""
"Canet Júnior, Jayme","1040","https://github.com/cpdoc/dhbb/blob/master/text/1040.text","","","","","",""
"Romildo Canhim","1041","https://github.com/cpdoc/dhbb/blob/master/text/1041.text","0","Q10364277","http://www.wikidata.org/entity/Q10364277","Romildo Canhim","Q155",""
"Vinícius Cansanção","1042","https://github.com/cpdoc/dhbb/blob/master/text/1042.text","0","Q47011507","http://www.wikidata.org/entity/Q47011507","Vinicius Cansanção","Q155","Brazilian politician"
"Roberto Cantalupo","1043","https://github.com/cpdoc/dhbb/blob/master/text/1043.text","0","Q2159455","http://www.wikidata.org/entity/Q2159455","Roberto Cantalupo","Q38","Italian politician"
"Atlas Cantanhede","1044","https://github.com/cpdoc/dhbb/blob/master/text/1044.text","","","","","",""
"Plínio Cantanhede","1045","https://github.com/cpdoc/dhbb/blob/master/text/1045.text","","","","","",""
"Câmara Canto","1046","https://github.com/cpdoc/dhbb/blob/master/text/1046.text","","","","","",""
"Assis Canuto","1047","https://github.com/cpdoc/dhbb/blob/master/text/1047.text","0","Q30937885","http://www.wikidata.org/entity/Q30937885","Assis Canuto","Q155","Brazilian politician"
"Caó","1048","https://github.com/cpdoc/dhbb/blob/master/text/1048.text","0","Q144","http://www.wikidata.org/entity/Q144","dog","","domestic animal"
"Caó","1048","https://github.com/cpdoc/dhbb/blob/master/text/1048.text","1","Q710706","http://www.wikidata.org/entity/Q710706","Cao","","surname (曹)"
"Caó","1048","https://github.com/cpdoc/dhbb/blob/master/text/1048.text","2","Q229702","http://www.wikidata.org/entity/Q229702","Ham","","Biblical figure, son of Noah"
