lemma,poscode,surface
diretor de entidade (departamento federal de segurança pública),3,"dir.-ger. dfsp,dir. ger. dfsp,ch. dfsp,diretor de entidade (departamento federal de segurança pública)"
diretor de entidade (departamento nacional de propaganda),3,"diretor do departamento nacional de propaganda,dir. depto. nac. prop,diretor de entidade (departamento nacional de propaganda)"
diretor de entidade (departamento de imprensa e propaganda),3,"diretor do departamento de imprensa e propaganda,dir. dip,diretor de entidade (departamento de imprensa e propaganda)"
diretor de entidade (departamento de polícia federal),3,"dir.-ger. dpf,dir. ger. dep. pol. fed.,diretor-geral do departamento de polícia federal,diretor de entidade (departamento de polícia federal)"
diretor de entidade (departamento de propaganda e difusão cultural),3,"diretor do departamento de propaganda e difusão cultural,dir. depto. prop. dif. cult.,diretor de entidade (departamento de propaganda e difusão cultural)"
diretor de entidade (itamaraty),3,"dir.-ger. secret. estado rel. ext.,diretor de entidade (itamaraty)"
embaixador (alemanha),3,"embaixador do brasil – alemanha,embaixador (alemanha)"
embaixador (argentina),3,"embaixador do brasil – argentina,embaixador (argentina)"
embaixador (bolívia),3,"embaixador do brasil – bolívia,embaixador (bolívia)"
embaixador (chile),3,"embaixador do brasil – chile,embaixador (chile)"
embaixador (eua),3,"embaixador do brasil – eua,embaixador (eua)"
embaixador (frança),3,"embaixador do brasil – frança,embaixador (frança)"
embaixador (inglaterra),3,"embaixador do brasil – inglaterra,embaixador (inglaterra)"
embaixador (itália),3,"embaixador do brasil – itália,embaixador (itália)"
embaixador (liga das nações),3,"embaixador do brasil – liga das nações,embaixador (liga das nações)"
embaixador (oea),3,"embaixador do brasil – oea,embaixador (oea)"
embaixador (omc),3,"embaixador do brasil – omc,embaixador (omc)"
embaixador (onu),3,"embaixador do brasil – onu,embaixador (onu)"
embaixador (paraguai),3,"embaixador do brasil – paraguai,embaixador (paraguai)"
embaixador (peru),3,"embaixador do brasil – peru,embaixador (peru)"
embaixador (portugal),3,"embaixador do brasil – portugal,embaixador (portugal)"
embaixador (rússia),3,"embaixador do brasil – rússia,embaixador (rússia)"
embaixador (urss),3,"embaixador do brasil – urss,embaixador (urss)"
embaixador (uruguai),3,"embaixador do brasil – uruguai,embaixador (uruguai)"
embaixador (vaticano),3,"embaixador do brasil – vaticano,embaixador (vaticano)"
embaixador (venezuela),3,"embaixador do brasil – venezuela,embaixador (venezuela)"
embaixador estrangeiro (alemanha),3,"emb. alemanha ocid. no brasil,emb. rep. fed. alemanha no brasil,emb. alemanha no brasil,embaixador estrangeiro (alemanha)"
embaixador estrangeiro (argentina),3,"emb. argentina no brasil,embaixador estrangeiro (argentina)"
embaixador estrangeiro (eua),3,"emb. eua no brasil,embaixador estrangeiro (eua)"
embaixador estrangeiro (frança),3,"emb. frança no brasil,embaixador estrangeiro (frança)"
embaixador estrangeiro (inglaterra),3,"emb. inglaterra no brasil,embaixador estrangeiro (inglaterra)"
embaixador estrangeiro (itália),3,"emb. itália no brasil,embaixador estrangeiro (itália)"
embaixador estrangeiro (suíça),3,"emb. suíça no brasil,embaixador estrangeiro (suíça)"
empresário,3,"empresário,empresário"
encarregado de negócios brasil-eua,3,"encar. neg. bras. eua,encarregado de negócios brasil-eua"
escritor,3,"ensaísta,poeta,escritor,escritor"
governador,3,"ch. gov. prov.,gov.,governador"
governador militar,3,"gov. mil.,governo militar,governador militar"
imperador,3,"imperador,imperador"
inspetor militar,3,"insp. 1º gr. rm1,insp. 2o grupo de rms1,insp. 2º gr. rm2,insp. ger. 2º gr. rm1,insp. 1º grupo rm1,insp. 1º grupo de rms1,insp. 2º grupo de rms1,insp. 1o grupo de rms1,inspetor militar"
intelectual,3,"pensador político,antropólogo, folclorista,pedagogo e pensador,filólogo, professor e escritor,antropólogo,intelectual,intelectual"
interventor,3,"interventor,interv."
jornalista,3,"jornalista,jornalista"
juiz do tribunal de segurança nacional,3,"juiz tsn,juiz do tribunal de segurança nacional"
jurista,3,"jurista,jurista"
líder de movimento,3,"líder seringueiro,líder republicano,líder estudantil,líder guerrilheiro,líder soc. civil,líder de movimento"
magistrado,3,"magistrado,magistrada,magistrado"
membro de junta governativa,3,"membro de junta governativa,junta gov."
membro de junta militar,3,"junta mil.,membro de junta militar"
militar,3,"militar,militar"
ministro (administração federal e reforma do estado),3,"min. adm. e ref. do estado,min. admin.,min. ch. saf,ministro (administração federal e reforma do estado)"
ministro (aeronáutica),3,"min. aer.,ministro da aeronáutica,ministro (aeronáutica)"
ministro (agricultura),3,"min. agric.,ministro da agricultura,ministro (agricultura)"
ministro (assistência social),3,"min. ass. social,min. assist. e prom. social,ministro (assistência social)"
ministro (assuntos estratégicos),3,"min. -chefe secr. ass. estrat.,min. assuntos estrat.,min. assunt. estrat.,min. extr. ass.estr.,ministro (assuntos estratégicos)"
ministro (assuntos fundiários),3,"min. assunt. fund.,min. extr. assuntos fundiários,ministro (assuntos fundiários)"
ministro (ação social),3,"min. ação social,ministro (ação social)"
ministro (bem-estar social),3,"min. bem-estar social,ministro (bem-estar social)"
ministro (casa civil da presidência da república),3,"min. casa civil,min. casa civ. pres. rep.,ministro (casa civil da presidência da república)"
ministro (cidades),3,"min. cidades,ministro (cidades)"
ministro (ciência e tecnologia),3,"min. ciên. tecn.,min. ciênc. e tecnol.,ministro (ciência e tecnologia)"
ministro (comunicações),3,"ministro das comunicações,min. comunic.,ministro (comunicações)"
ministro (controladoria geral da união),3,"min. controle e transparência,min. cgu,contr.-ger. união.,ministro (controladoria geral da união)"
ministro (coordenação de assuntos políticos),3,"min. extr. coord. ass. pol.,min. extr. ass. parl.,ministro (coordenação de assuntos políticos)"
ministro (coordenação dos organismos regionais),3,"min. extraord. coord. órgãos reg.,ministro (coordenação dos organismos regionais)"
ministro (criança),3,"min. extraord. criança,ministro (criança)"
ministro (cultura),3,"min. cultura,min. cult.,ministro (cultura)"
ministro (defesa),3,"ministro da defesa,min. defesa,ministro (defesa)"
ministro (desburocratização),3,"min. extr. desburoc.,min. desburoc.,ministro (desburocratização)"
ministro (desenvolvimento agrário),3,"ministro do desenvolvimento agrário,min. desenv. agr.,ministro (desenvolvimento agrário)"
ministro (desenvolvimento social e combate à fome),3,"ministro do desenvolvimento social e combate à fome,min. desenv. soc.,ministro (desenvolvimento social e combate à fome)"
