lemma,poscode,surface
Leonidas de Oliveira,3,Leonidas de Oliveira
Leonie Bazin Stambolos,3,Leonie Bazin Stambolos
Leonina Nita Barbosa Sousa Costa,3,Leonina Nita Barbosa Sousa Costa
Leonino Di Ramos Caiado,3,Leonino Di Ramos Caiado
Leonor Barbosa de Camargo Castor,3,Leonor Barbosa de Camargo Castor
Leonor Barreto Franco,3,Leonor Barreto Franco
Leonor Mendes de Barros,3,Leonor Mendes de Barros
Leontina Simões Lopes,3,Leontina Simões Lopes
Leopoldina Klinger,3,Leopoldina Klinger
Leopoldina de Souza Leão,3,Leopoldina de Souza Leão
Leopoldino A. Borges,3,Leopoldino A. Borges
Leopoldino Cardoso de Amorim,3,Leopoldino Cardoso de Amorim
Leopoldo Afranio Bastos Do Amaral,3,Leopoldo Afranio Bastos Do Amaral
Leopoldo Amorim Do Vale,3,Leopoldo Amorim Do Vale
Leopoldo Amorim da Silva Neves,3,Leopoldo Amorim da Silva Neves
Leopoldo Ayres,3,Leopoldo Ayres
Leopoldo Bittencourt,3,Leopoldo Bittencourt
Leopoldo Bran,3,Leopoldo Bran
Leopoldo Carpinteiro Peres,3,Leopoldo Carpinteiro Peres
Leopoldo Cesar de Miranda Lima Filho,3,Leopoldo Cesar de Miranda Lima Filho
Leopoldo Dias Maciel,3,Leopoldo Dias Maciel
Leopoldo Galtieri,3,Leopoldo Galtieri
Leopoldo Miguez de Melo,3,Leopoldo Miguez de Melo
Leopoldo Miguez,3,Leopoldo Miguez
Leopoldo Modesto Leal,3,Leopoldo Modesto Leal
Leopoldo Nachbin,3,Leopoldo Nachbin
Leopoldo Neri da Fonseca Junior,3,Leopoldo Neri da Fonseca Junior
Leopoldo Neri da Fonseca,3,Leopoldo Neri da Fonseca
Leopoldo Noronha,3,Leopoldo Noronha
Leopoldo Pacheco Bessone,3,Leopoldo Pacheco Bessone
Leopoldo Peres Sobrinho,3,Leopoldo Peres Sobrinho
Leopoldo de Araujo Sousa Neto,3,Leopoldo de Araujo Sousa Neto
Leopoldo de Diniz  Martins Junior,3,Leopoldo de Diniz  Martins Junior
Leopoldo de Souza Neto,3,Leopoldo de Souza Neto
