$der 1
'mesar 1
...Aparecer 1
...desmantelar 1
.passar 1
/Parter 1
/ar 1
/cnpr 1
11der 1
12.000kr 1
120kr 1
1989tornar 1
1^o^r 1
2009assumir 1
31der 1
3der 1
40kr 1
5.000kr 1
6.202kr 1
Abalar 1
Abandonar 94
Abater 1
Abgar 1
Aboler 2
Abordar 2
Abr 1
Abranger 1
Abrer 13
Abrigar 1
Absorvender 1
Abster 68
Abstiver 3
Academer 1
Acampar 1
Acar 2
Acatar 1
Aceitar 1
Aceizer 2
Acelerar 1
Acentuar 2
Acertado 1
Acertar 1
Achar 3
Acionar 2
Acirrar 3
Aclamar 1
Acolher 20
Acometer 42
Acometir 8
Acompanhar 1
Aconchegar 1
Aconselhar 9
Acoplar 1
Acossar 1
Acrescentar 2
Acrescentir 1
Acrescer 2
Acrir 1
Acuar 3
Acumpliciar 1
Acumular 36
Acusar 13
Adalbrir 1
Adaptar 3
Adaugar 1
Adelmar 1
Ademar 39
Ademir 1
Ader 6
Aderir 8
Adiantar 1
Adiar 1
Adicionar 1
Adir 13
Admitirar 1
Admoestar 1
Adoecer 1
Adorer 1
Adotar 24
Adquir 1
Adquirir 1
Adulterar 1
Adverter 1
Advertir 3
Advogar 19
Aerotransportar 1
Afastar 2
Aferr 1
Aficcionar 1
Aficionar 1
Afigurar 1
Afiliar 1
Afinar 1
Afirmar 9
Afrontar 1
Afírmar 1
Agilr 2
Agir 6
Agradecer 2
Agravar 6
Agregar 3
Agrupar 1
Agrônor 1
Aguardadar 1
Aguardar 2
Aguçar 1
Air 1
Ajoelhar 1
Ajuizar 1
Alader 1
Alarmar 3
Alcer 25
Alcoprar 1
Aldovrar 1
Alegar 16
Alegrir 2
Alencar 3
Alertar 5
Alfabetizar 4
Aliar 3
Alijar 5
Alimentar 2
Alinhar 11
Alistar 4
Almeer 1
Almirante-de-esquadr 2
Alojar 3
Altamirar 1
Alterar 5
Alternar 3
Altiner 1
Aludir 1
Alugar 1
Alvarar 1
Alçar 6
Amapar 1
Amar 2
Amargurar 1
Amarilr 1
Ameaçar 2
Amenizar 1
Amparar 6
Ampliar 19
Amílcar 1
Analisar 1
Andirar 1
Andrar 4
Anexar 2
Animar 7
Anistiar 29
Anotar 1
Anteceder 1
Antecipar 15
Antenar 1
Antever 1
Anti-Táticar 1
Anular 7
Anunciar 1
Apadrinhar 4
Aparar 1
Aparecer 15
Apartear 2
Apelar 1
Apelidar 5
Aperfeiçoar 3
Apertar 5
Aplacar 1
Aplauder 3
Aplaudir 2
Apoderar 1
Apoiado 5
Apoiar 106
Apoiarar 1
Apoiavar 3
Apontar 10
Aposentar 173
Apostar 3
Apreciar 2
Apreender 1
Aprender 4
Apresar 1
Apresentar 2
Aprisionar 1
Aprofundavar 1
Aprovar 2
Aproximavar 4
Apurar 7
Arabutar 1
Arar 1
Aratr 1
Arcoverder 1
Argumentar 15
Arister 2
Arlir 4
Armar 24
Armir 2
Arnalr 1
Arquivar 1
Arranjar 1
Arrebentar 1
Arrecadar 1
Arrendar 1
Arrolar 4
Arrudar 7
Arrumar 1
Arrur 1
Arthur 1
Articular 5
Ascender 1
Asfixiar 1
Asilar 2
Aspirar 1
Assediar 1
Assegurar 8
Assentar 23
Assessorar 9
Asseverar 1
Assinalar 12
Assistir 2
Associado 19
Associar 40
Assum 1
Assumar 1
Assumindar 1
Assumir 5
Assustar 3
Atacar 2
Atacavar 2
Atakar 1
Atar 1
Atendar 1
Atender 1
Atendir 1
Atener 3
Atentado 1
Atentar 1
Atentavar 1
Atenuar 1
Ater 1
Atinger 2
Ativar 3
Atlânter 1
Atolar 1
Atrair 1
Atravessar 2
Atrelar 1
Atribuir 3
Atribuíar 1
Atualizar 1
Atualizer 1
Atuar 4
Augur 1
Aumentar 2
Auscultar 1
Ausentar 48
Auto-intitular 1
Autodefinir 1
Autodenominar 1
Autuar 1
Auxiliar 10
Avaliar 6
Avalizar 1
Avançar 1
Avelar 9
Aventar 3
Avisar 2
Avolumar 1
Azurer 1
Açr 1
B 1
BNDESPar 1
Bacharar 1
Bacharelar 460
Baher 2
Baixado 1
Baixar 2
Baldar 2
Bangr 2
Bar 1
Barbosar 1
Basear 19
Baseavar 1
Bastazer 1
Batir 1
Batizar 2
Battistir 1
Bauer 1
Belínder 1
Bem-suceder 7
Bem-sucedir 1
Benedizer 4
Beneficiar 40
Beprir 1
Bethlar 2
Bethler 3
Bevilacquar 3
Bevilacquir 1
Bittar 1
Bivar 1
Blindar 2
Bloquear 1
Bogot 2
Bogotar 2
Boi 1
Bolsar 1
Bombardear 1
Borgher 1
Borghir 1
Bornhausendeclarar 1
Botar 1
Br 1
Bradespar 2
Bragar 3
Brasil-Bolíver 1
Brasil-Perr 1
Brasil-euar 1
Brasíler 1
Brasília/Miamir 1
Bresser 2
Brever 1
Brezer 1
Brigadeiro-do-ar 1
Brigado 1
Brizolar 1
Brochar 24
Brígir 7
Burnhar 1
Burnier 2
Buscar 11
Buscarir 1
Cab 1
Caber 3
Caiar 3
Cair 1
Caiu 1
Calar 2
Calcular 2
Cametar 1
Candidatar 248
Cansar 2
Canur 1
Capadr 2
Capitalizar 3
Capitão-de-mar-e-guerrar 1
Captar 2
Car 2
Caracterizar 10
Carlir 1
Carvalher 1
Casar 2263
Cassar 6
Cavalcantir 1
Caçapar 1
Cdhr 1
Ceder 2
Celebrizar 2
Centrar 4
Centravar 1
Cer 1
Cercar 3
Cercarar 1
Cercear 1
Cerrar 1
Certificar 2
Cessar 7
Cham 1
Chefiar 75
Chegar 8
Cherir 1
Ciceronear 1
Cifrar 1
Cindir 2
Cingir 2
Circular 5
Clair 1
Clamar 3
Classificar 3
Clinicar 7
Clodomir 1
Clodover 1
Cobrar 8
Coelhar 1
Coexistir 2
Cogitar 21
Cognominar 2
Coincidir 2
Colaborar 1
Colar 6
Colher 1
Coligar 121
Collor 3
Colocar 6
Comandar 23
Comar 11
Combater 15
Combatir 3
Combinar 2
Comissionar 22
Comparecer 22
Compartilhar 3
Compeler 1
Complementar 6
Completar 71
Complicar 2
Compor 2
Compradar 1
Compreender 10
Compreer 3
Comprimir 1
Comprometer 3
Comprometir 3
Compromissar 1
Comprovar 2
Compunhar 4
Comunicar 2
Conceber 10
Concebir 3
Conceder 2
Concertar 1
Conciliar 4
Conclamar 2
Concluer 5
Concluir 5
Concluír 2
Concordar 2
Concorr 1
Concorrer 277
Concorrir 1
Concretizar 1
Condar 1
Condecorar 3
Condenar 7
Condensar 1
Condicionar 3
Condurr 2
Conduzir 2
Conferenciar 1
Conferindar 1
Confessar 2
Confiar 2
Confidenciar 1
Configurar 4
Confirmar 18
Conformar 1
Confrangir 1
Confundir 1
Congelar 1
Congregar 15
Congrimir 5
Conjeturar 1
Conjugar 3
Conquistar 3
Conrar 3
Consagrar 1
Conservar 7
Considerar 16
Consignar 1
Consistir 1
Consolidar 13
Conspirar 1
Constar 6
Constat 1
Constatar 27
Constatavar 2
Constituir 4
Constranger 1
Construir 1
Consubstanciar 1
Consular 2
Consultar 3
Consumar 7
Consumir 1
Contabilizar 2
Contagiar 1
Contar 22
Contatar 4
Contemplar 4
Conter 2
Contestar 6
Continuar 10
Continuarer 1
Contornar 5
Contrair 51
Contrapor 6
Contrariar 10
Contratar 3
Convencer 2
Conversar 4
Converter 1
Conviver 4
Convocar 7
Cooper 1
Cooperar 2
Coordenar 5
Copar 1
Coper 1
Coroar 2
Coronel-reformar 1
Coronhar 1
Corr 2
Corrar 1
Correr 3
Corresponder 2
Corriger 1
Corrir 1
Corroborar 2
Corumbar 2
Credenciar 4
Creditar 1
Crer 1
Crescer 1
Cresciar 1
Criar 5
Cristalizar 1
Criticar 25
Cruzar 2
Cuiab 4
Cuiabar 8
Cultivar 2
Cumpristir 1
Cunhar 1
Curitber 1
Curitiba-Paranagu 1
Curitibar 1
Cursar 556
Custar 1
Custear 3
Câmar 4
Câmarar 1
Câncer 1
Cânder 14
Cândir 25
César 3
D 2
Dacar 6
Dair 1
Datar 4
Debater 2
Debelar 10
Debilitar 1
Debutar 1
Declarar 14
Declinar 2
Decretar 12
Decteto-Lar 1
Dedicar 166
Defender 26
Defendir 29
Deferir 2
Defin 2
Definer 1
Definir 21
Deflagradar 4
Deflagrar 40
Deixan­r 1
Deixar 26
Deixer 2
Dejandir 1
Delatar 1
Delegar 3
Delender 2
Delgado 1
Deliberar 2
Delinear 1
Delsar 1
Deltar 1
Demarcar 1
Demitir 1
Democráticar 2
Demonstrar 2
Denunciar 3
Deparar 2
Deplorar 1
Depor 8
Deportar 3
Depreender 1
Depuser 1
Deputar 4
Derivar 2
Derrotar 4
Derrubar 2
Desaconselhar 2
Desafiar 1
Desagradar 1
Desanimar 3
Desapontar 4
Desaprovar 1
Desarticular 6
Desativar 1
Desautorizar 1
Desbaratar 1
Desburocratizar 1
Descartar 8
Descender 2
Descer 1
Descobrir 1
Descompatibilizar 1
Descomprometer 1
Desconfiar 3
Desconsiderar 5
Descontar 1
Descontentar 1
Descredenciar 2
Descumprir 1
Desejar 6
Desempenhar 1
Desencadear 9
Desencantar 2
Desenrolar 1
Desentender 5
Desenvolver 2
Desestabilizar 1
Desfalcar 1
Desfechar 4
Desfeitar 2
Desfiliar 10
Desfraldar 1
Desgastar 6
Designar 4
Desiluder 1
Desincompatibilizar 55
Desinteressar 2
Desistir 9
Desligar 74
Desligousar 1
Deslumbrar 1
Desmembrar 1
Desmenter 1
Desmentir 2
Desmobilizar 1
Desobedecer 2
Desolar 1
Desonerar 1
Despachar 2
Despeder 1
Despedir 1
Despejar 1
Despertar 4
Desperter 1
Despojar 1
Despoluir 1
Despontar 1
Desporrer 1
Desposar 1
Desprestigiar 2
Desquitar 4
Destacar 18
Destinar 6
Destituir 6
Desvendar 2
Desviar 1
Desvincular 6
Deter 1
Deteriorar 1
Determinar 10
Dever 1
Devolver 1
Devotar 1
Diagnosticar 1
Diferenciar 2
Dilermar 1
Dilmar 1
Dinamitar 1
Dinamizar 1
Diplomar 184
Dir 1
Dircer 31
Direger 1
Diretor-ader 1
Dirigiar 1
Dirigir 9
Diríar 1
Discordar 59
Discorrer 2
Discursar 3
Discutir 13
Dispensar 1
Disponibilizar 1
Dispor 3
Disputar 22
Disser 1
Dissociar 2
Dissolver 8
Distanciar 3
Distinguir 7
Distribuir 1
Divergir 18
Diversificar 2
Diversíssimar 1
Divider 4
Divorciar 14
Divulgar 2
Dizíar 1
Djacir 1
Dnar 1
Dner 1
Doi 1
Domar 1
Dominar 2
Dotar 1
Dourar 1
Doutorar 3
Dr 1
Dutrar 28
Dér 1
Ebtr 1
Eclodir 3
Eder 1
Edgar 9
Edificar 2
Edir 1
Editar 7
Edmar 2
Educar 4
Efetivar 24
Efetuar 10
