Ciceronear	1
Cifrar	1
Cindir	2
Cingir	2
Circular	5
Clair	1
Clamar	3
Classificar	3
Clinicar	7
Clodomir	1
Clodover	1
Cobrar	8
Coelhar	1
Coexistir	2
Cogitar	21
Cognominar	2
Coincidir	2
Colaborar	1
Colar	6
Colher	1
Coligar	121
Collor	3
Colocar	6
Comandar	23
Comar	11
Combater	15
Combatir	3
Combinar	2
Comissionar	22
Comparecer	22
Compartilhar	3
Compeler	1
Complementar	6
Completar	71
Complicar	2
Compor	2
Compradar	1
Compreender	10
Compreer	3
Comprimir	1
Comprometer	3
Comprometir	3
Compromissar	1
Comprovar	2
Compunhar	4
Comunicar	2
Conceber	10
Concebir	3
Conceder	2
Concertar	1
Conciliar	4
Conclamar	2
Concluer	5
Concluir	5
Concluír	2
Concordar	2
Concorr	1
Concorrer	277
Concorrir	1
Concretizar	1
Condar	1
Condecorar	3
Condenar	7
Condensar	1
Condicionar	3
Condurr	2
Conduzir	2
Conferenciar	1
Conferindar	1
Confessar	2
Confiar	2
Confidenciar	1
Configurar	4
Confirmar	18
Conformar	1
Confrangir	1
Confundir	1
Congelar	1
Congregar	15
Congrimir	5
Conjeturar	1
Conjugar	3
Conquistar	3
Conrar	3
Consagrar	1
Conservar	7
Considerar	16
Consignar	1
Consistir	1
Consolidar	13
Conspirar	1
Constar	6
Constat	1
Constatar	27
Constatavar	2
Constituir	4
Constranger	1
Construir	1
Consubstanciar	1
Consular	2
Consultar	3
Consumar	7
Consumir	1
Contabilizar	2
Contagiar	1
Contar	22
Contatar	4
Contemplar	4
Conter	2
Contestar	6
Continuar	10
Continuarer	1
Contornar	5
Contrair	51
Contrapor	6
Contrariar	10
Contratar	3
Convencer	2
Conversar	4
Converter	1
Conviver	4
Convocar	7
Cooper	1
Cooperar	2
Coordenar	5
Copar	1
Coper	1
Coroar	2
Coronel-reformar	1
Coronhar	1
Corr	2
Corrar	1
Correr	3
Corresponder	2
Corriger	1
Corrir	1
Corroborar	2
Corumbar	2
Credenciar	4
Creditar	1
Crer	1
Crescer	1
Cresciar	1
Criar	5
Cristalizar	1
Criticar	25
Cruzar	2
Cuiab	4
Cuiabar	8
Cultivar	2
Cumpristir	1
Cunhar	1
Curitber	1
Curitiba-Paranagu	1
Curitibar	1
Cursar	556
Custar	1
Custear	3
Câmar	4
Câmarar	1
Câncer	1
Cânder	14
Cândir	25
César	3
D	2
Dacar	6
Dair	1
Datar	4
Debater	2
Debelar	10
Debilitar	1
Debutar	1
Declarar	14
Declinar	2
Decretar	12
Decteto-Lar	1
Dedicar	166
Defender	26
Defendir	29
Deferir	2
Defin	2
Definer	1
Definir	21
Deflagradar	4
Deflagrar	40
Deixan­r	1
Deixar	26
Deixer	2
Dejandir	1
Delatar	1
Delegar	3
Delender	2
