lemma,poscode,surface
São Sebastião da Vala,3,São Sebastião da Vala
Tabaúna,3,Tabaúna
São José do Limoeiro,3,São José do Limoeiro
Aiquara,3,Aiquara
Aiuaba,3,Aiuaba
Barra,3,Barra
Aiuruoca,3,Aiuruoca
Ajuricaba,3,Ajuricaba
Medianeira,3,Medianeira
Alagoa,3,Alagoa
Alagoa Grande,3,Alagoa Grande
Alagoa Nova,3,Alagoa Nova
Alagoinha,3,Alagoinha
Perpétuo Socorro,3,Perpétuo Socorro
Alagoinha do Piauí,3,Alagoinha do Piauí
Alagoinhas,3,Alagoinhas
Boa União,3,Boa União
Riacho da Guia,3,Riacho da Guia
Alambari,3,Alambari
Albertina,3,Albertina
Alcântara,3,Alcântara
São João de Cortes,3,São João de Cortes
Alcântaras,3,Alcântaras
Ventura,3,Ventura
Alcantil,3,Alcantil
Alcinópolis,3,Alcinópolis
Alcobaça,3,Alcobaça
Aldeias Altas,3,Aldeias Altas
Alecrim,3,Alecrim
Alegre,3,Alegre
Anutiba,3,Anutiba
Araraí,3,Araraí
Café,3,Café
Celina,3,Celina
Rive,3,Rive
Santa Angélica,3,Santa Angélica
São João do Norte,3,São João do Norte
Alegrete,3,Alegrete
Passo Novo,3,Passo Novo
Alegrete do Piauí,3,Alegrete do Piauí
Alegria,3,Alegria
Espírito Santo,3,Espírito Santo
Além Paraíba,3,Além Paraíba
Angustura,3,Angustura
Alenquer,3,Alenquer
Alexandria,3,Alexandria
Alexânia,3,Alexânia
Olhos D'Água,3,Olhos D'Água
Alfenas,3,Alfenas
Barranco Alto,3,Barranco Alto
Alfredo Chaves,3,Alfredo Chaves
Crubixá,3,Crubixá
Ibitiruí,3,Ibitiruí
Matilde,3,Matilde
Ribeirão do Cristo,3,Ribeirão do Cristo
Sagrada Família,3,Sagrada Família
Urânia,3,Urânia
Alfredo Marcondes,3,Alfredo Marcondes
Alfredo Vasconcelos,3,Alfredo Vasconcelos
São José de Pouso Alegre,3,São José de Pouso Alegre
Potreiro,3,Potreiro
Alfredo Wagner,3,Alfredo Wagner
Arnópolis,3,Arnópolis
Catuíra,3,Catuíra
São Leonardo,3,São Leonardo
Algodão de Jandaíra,3,Algodão de Jandaíra
Alhandra,3,Alhandra
Aliança,3,Aliança
Macujê,3,Macujê
Tupaoca,3,Tupaoca
Upatininga,3,Upatininga
Aliança do Tocantins,3,Aliança do Tocantins
Almadina,3,Almadina
Almas,3,Almas
Almeirim,3,Almeirim
Arumanduba,3,Arumanduba
Monte Dourado,3,Monte Dourado
Almenara,3,Almenara
Pedra Grande,3,Pedra Grande
Almino Afonso,3,Almino Afonso
Almirante Tamandaré,3,Almirante Tamandaré
Almirante Tamandaré do Sul,3,Almirante Tamandaré do Sul
Linha Vitória,3,Linha Vitória
Rincão do Segredo,3,Rincão do Segredo
Aloândia,3,Aloândia
Alpercata,3,Alpercata
Alpestre,3,Alpestre
Farinhas,3,Farinhas
Sertãozinho,3,Sertãozinho
Volta Grande,3,Volta Grande
Alpinópolis,3,Alpinópolis
Alta Floresta,3,Alta Floresta
Alta Floresta D'Oeste,3,Alta Floresta D'Oeste
Filadélfia d'Oeste,3,Filadélfia d'Oeste
Izidolândia,3,Izidolândia
Nova Gease d'Oeste,3,Nova Gease d'Oeste
Rolim de Moura do Guaporé,3,Rolim de Moura do Guaporé
Santo Antônio d'Oeste,3,Santo Antônio d'Oeste
Altair,3,Altair
Suinana,3,Suinana
Altamira,3,Altamira
Cachoeira da Serra,3,Cachoeira da Serra
Castelo dos Sonhos,3,Castelo dos Sonhos
Altamira do Maranhão,3,Altamira do Maranhão
Altamira do Paraná,3,Altamira do Paraná
Altaneira,3,Altaneira
São Romão,3,São Romão
Alterosa,3,Alterosa
Divino Espírito Santo,3,Divino Espírito Santo
Altinho,3,Altinho
Ituguaçu,3,Ituguaçu
Altinópolis,3,Altinópolis
Alto Alegre,3,Alto Alegre
Jatobá,3,Jatobá
São Martinho d'Oeste,3,São Martinho d'Oeste
Linha Bonita,3,Linha Bonita
Santa Lúcia,3,Santa Lúcia
Treze de Maio,3,Treze de Maio
Alto Alegre do Maranhão,3,Alto Alegre do Maranhão
Alto Alegre do Pindaré,3,Alto Alegre do Pindaré
Alto Alegre dos Parecis,3,Alto Alegre dos Parecis
Alto Araguaia,3,Alto Araguaia
Buriti,3,Buriti
Alto Bela Vista,3,Alto Bela Vista
Alto Boa Vista,3,Alto Boa Vista
Alto Caparaó,3,Alto Caparaó
Alto do Rodrigues,3,Alto do Rodrigues
Alto Feliz,3,Alto Feliz
Alto Garças,3,Alto Garças
Alto Horizonte,3,Alto Horizonte
Alto Jequitibá,3,Alto Jequitibá
Padre Júlio Maria,3,Padre Júlio Maria
Alto Longá,3,Alto Longá
Alto Paraguai,3,Alto Paraguai
Capão Verde,3,Capão Verde
Lavouras,3,Lavouras
Alto Paraíso,3,Alto Paraíso
Alto Paraíso de Goiás,3,Alto Paraíso de Goiás
São Jorge,3,São Jorge
Alto Paraná,3,Alto Paraná
Maristela,3,Maristela
Santa Maria,3,Santa Maria
Alto Parnaíba,3,Alto Parnaíba
Curupá,3,Curupá
Alto Piquiri,3,Alto Piquiri
Mirante do Piquiri,3,Mirante do Piquiri
Paulistânia,3,Paulistânia
Saltinho do Oeste,3,Saltinho do Oeste
Alto Rio Doce,3,Alto Rio Doce
Abreus,3,Abreus
Missionário,3,Missionário
Vitorinos,3,Vitorinos
Alto Rio Novo,3,Alto Rio Novo
Monte Carmelo do Rio Novo,3,Monte Carmelo do Rio Novo
Palmerino,3,Palmerino
Alto Santo,3,Alto Santo
Baixio Grande,3,Baixio Grande
Castanhão,3,Castanhão
Batoque,3,Batoque
Boa Fé,3,Boa Fé
Bom Jesus,3,Bom Jesus
Cabrito,3,Cabrito
Alto Taquari,3,Alto Taquari
Altônia,3,Altônia
Jardim Paredão,3,Jardim Paredão
São João,3,São João
Altos,3,Altos
Alumínio,3,Alumínio
Alvarães,3,Alvarães
